Name	Formula	Distribution	Masses	Adducts	Isotopes
riboflavin	[M1];[C17H20N4O6]n	0.8068316885365433 0.009948203904487389 0.0018440573091244908 0.012836108886867188 0.0018291501973377762 0.011920429636319571 6.941593302814073E-4 0.1483500294600199 0.002191778177344119 0.0019487226309183058 0.807017291840863 0.00995049238614094 0.0018444815154797832 6.94319014472367E-4 0.14838415585348572 0.0119231718081515 0.012839061701261886 0.0018295709744658266 0.0021922823732970424 0.0017635355892650537	377.1455608485907 379.1498066264908 378.14977772649075 379.1522705241907 380.15316146429075 378.1425957417507 380.1556253619907 378.1489156863907 379.1459505795507 378.15183759445074 375.13100794412924 377.13525372202923 376.1352248220293 378.1410724575292 376.13436278192927 376.1280428372893 377.13771761972924 378.1386085598293 377.13139767508926 376.13728468998926	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]17[1H]21[14N]4[16O]6 [12C]17[1H]21[14N]4[16O]5[18O]1 [12C]17[1H]21[14N]4[16O]5[17O]1 [12C]15[13C]2[1H]21[14N]4[16O]6 [12C]16[13C]1[1H]21[14N]4[16O]5[18O]1 [12C]17[1H]21[14N]3[15N]1[16O]6 [12C]14[13C]3[1H]21[14N]4[16O]6 [12C]16[13C]1[1H]21[14N]4[16O]6 [12C]16[13C]1[1H]21[14N]3[15N]1[16O]6 [12C]17[1H]20[2H]1[14N]4[16O]6 [12C]17[1H]19[14N]4[16O]6 [12C]17[1H]19[14N]4[16O]5[18O]1 [12C]17[1H]19[14N]4[16O]5[17O]1 [12C]14[13C]3[1H]19[14N]4[16O]6 [12C]16[13C]1[1H]19[14N]4[16O]6 [12C]17[1H]19[14N]3[15N]1[16O]6 [12C]15[13C]2[1H]19[14N]4[16O]6 [12C]16[13C]1[1H]19[14N]4[16O]5[18O]1 [12C]16[13C]1[1H]19[14N]3[15N]1[16O]6 [12C]17[1H]18[2H]1[14N]4[16O]6
Glycine	[M1];[C2H5NO2]n	0.969710160905616 0.0039854964160039134 7.387749454056032E-4 0.0035817141000207436 1.1343667377611226E-4 6.691769663760086E-4 0.020976243246113604 8.621209269431293E-5 1.5980778157970196E-5 7.747769305614468E-5 0.969933232721775 0.003986413238328414 7.389448929584374E-4 0.003582538036390048 1.1346276871237098E-4 4.462206024212951E-4 0.02098106861442029 8.623192489662194E-5 1.5984454371081136E-5 7.749551599994647E-5	76.03930486237077 78.04355064027077 77.04352174027076 77.03633975553076 78.04601453797076 77.04558160823076 77.04265970017076 79.04690547807076 78.04687657807077 78.03969459333076 74.02475195790923 76.02899773580924 75.02896883580924 75.02178685106924 76.03146163350924 75.03102870376924 75.02810679570923 77.03235257360924 76.03232367360924 76.02514168886924	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]2[1H]6[14N]1[16O]2 [12C]2[1H]6[14N]1[16O]1[18O]1 [12C]2[1H]6[14N]1[16O]1[17O]1 [12C]2[1H]6[15N]1[16O]2 [13C]2[1H]6[14N]1[16O]2 [12C]2[1H]5[2H]1[14N]1[16O]2 [12C]1[13C]1[1H]6[14N]1[16O]2 [12C]1[13C]1[1H]6[14N]1[16O]1[18O]1 [12C]1[13C]1[1H]6[14N]1[16O]1[17O]1 [12C]1[13C]1[1H]6[15N]1[16O]2 [12C]2[1H]4[14N]1[16O]2 [12C]2[1H]4[14N]1[16O]1[18O]1 [12C]2[1H]4[14N]1[16O]1[17O]1 [12C]2[1H]4[15N]1[16O]2 [13C]2[1H]4[14N]1[16O]2 [12C]2[1H]3[2H]1[14N]1[16O]2 [12C]1[13C]1[1H]4[14N]1[16O]2 [12C]1[13C]1[1H]4[14N]1[16O]1[18O]1 [12C]1[13C]1[1H]4[14N]1[16O]1[17O]1 [12C]1[13C]1[1H]4[15N]1[16O]2
sn-glycero-3-Phosphocholine	[M1];[C8H20NO6P]n	0.8987405151295287 0.011081436226122683 0.0020541198858178627 1.8782230132310425E-4 9.588304265198648E-4 0.0033195811543245803 2.872295024867929E-4 0.002170707975454987 0.002943770091889655 0.07776426573848955 0.8989472611110066 0.011083985396178098 0.002054592414901305 0.002944447275822779 9.590509955653955E-4 0.0033203447897146546 2.87295576669943E-4 0.0019644256744801177 1.7777530649504885E-4 0.07778215460537978	258.1101003448708 260.11434612277077 259.11431722277075 260.11973192853077 261.11770096057074 259.10713523803076 260.11049007583074 259.11637709073074 260.1168100204708 259.11345518267075 256.0955474404093 258.0997932183093 257.09976431830927 258.1022571160093 259.10314805610926 257.0925823335693 258.09593717136926 257.10182418626925 258.1031191561093 257.09890227820927	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]8[1H]21[14N]1[16O]6[31P]1 [12C]8[1H]21[14N]1[16O]5[18O]1[31P]1 [12C]8[1H]21[14N]1[16O]5[17O]1[31P]1 [12C]7[13C]1[1H]20[2H]1[14N]1[16O]6[31P]1 [12C]7[13C]1[1H]21[14N]1[16O]5[18O]1[31P]1 [12C]8[1H]21[15N]1[16O]6[31P]1 [12C]7[13C]1[1H]21[15N]1[16O]6[31P]1 [12C]8[1H]20[2H]1[14N]1[16O]6[31P]1 [12C]6[13C]2[1H]21[14N]1[16O]6[31P]1 [12C]7[13C]1[1H]21[14N]1[16O]6[31P]1 [12C]8[1H]19[14N]1[16O]6[31P]1 [12C]8[1H]19[14N]1[16O]5[18O]1[31P]1 [12C]8[1H]19[14N]1[16O]5[17O]1[31P]1 [12C]6[13C]2[1H]19[14N]1[16O]6[31P]1 [12C]7[13C]1[1H]19[14N]1[16O]5[18O]1[31P]1 [12C]8[1H]19[15N]1[16O]6[31P]1 [12C]7[13C]1[1H]19[15N]1[16O]6[31P]1 [12C]8[1H]18[2H]1[14N]1[16O]6[31P]1 [12C]7[13C]1[1H]19[14N]1[16O]5[17O]1[31P]1 [12C]7[13C]1[1H]19[14N]1[16O]6[31P]1
4-Aminobenzoate	[M1];[C7H7NO2]n	0.918717730978703 0.003775918178185672 6.99926296444173E-4 0.0033933688473599117 6.399907262587043E-5 8.453175240156685E-4 0.0695562094918679 2.858751354959133E-4 0.00225690318880922 2.569122881504676E-4 0.918929072512544 0.0037767867891991824 7.000873072661897E-4 0.00339414945684736 0.0022574223660990125 6.341339854419814E-4 0.06957221018011683 2.8594089812091275E-4 5.300367867607161E-5 2.569713881713003E-4	138.05495492665077 140.05920070455076 139.05917180455074 139.05198981981076 140.06458651031076 139.06123167251076 139.05830976445077 141.06255554235076 140.06166460225077 140.05534465761076 136.04040202218923 138.04464780008922 137.04461890008923 137.03743691534925 138.04711169778923 137.04667876804922 137.04375685998923 139.04800263788923 138.04797373788924 138.04079175314925	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]7[1H]8[14N]1[16O]2 [12C]7[1H]8[14N]1[16O]1[18O]1 [12C]7[1H]8[14N]1[16O]1[17O]1 [12C]7[1H]8[15N]1[16O]2 [12C]6[13C]1[1H]7[2H]1[14N]1[16O]2 [12C]7[1H]7[2H]1[14N]1[16O]2 [12C]6[13C]1[1H]8[14N]1[16O]2 [12C]6[13C]1[1H]8[14N]1[16O]1[18O]1 [12C]5[13C]2[1H]8[14N]1[16O]2 [12C]6[13C]1[1H]8[15N]1[16O]2 [12C]7[1H]6[14N]1[16O]2 [12C]7[1H]6[14N]1[16O]1[18O]1 [12C]7[1H]6[14N]1[16O]1[17O]1 [12C]7[1H]6[15N]1[16O]2 [12C]5[13C]2[1H]6[14N]1[16O]2 [12C]7[1H]5[2H]1[14N]1[16O]2 [12C]6[13C]1[1H]6[14N]1[16O]2 [12C]6[13C]1[1H]6[14N]1[16O]1[18O]1 [12C]6[13C]1[1H]6[14N]1[16O]1[17O]1 [12C]6[13C]1[1H]6[15N]1[16O]2
Nicotinate	[M1];[C6H5NO2]n	0.9288679596811319 0.0038176354889307407 7.076592613627712E-4 0.0034308596551575455 0.0016298843093233374 6.409926063297093E-4 0.060278300830414154 2.4774304901380146E-4 4.592310176841196E-5 2.2264347504408636E-4 0.9290816361703466 0.0038185136965811113 7.078220510735716E-4 0.0034316488890184633 0.0016302592473900585 4.274267067096311E-4 0.06029216723151349 2.4780003974578745E-4 4.593366590409717E-5 2.22694691878081E-4	124.03930486237076 126.04355064027075 125.04352174027076 125.03633975553076 126.04601453797076 125.04558160823075 125.04265970017076 127.04690547807076 126.04687657807077 126.03969459333076 122.02475195790923 124.02899773580924 123.02896883580924 123.02178685106924 124.03146163350924 123.03102870376922 123.02810679570923 125.03235257360924 124.03232367360924 124.02514168886924	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]6[1H]6[14N]1[16O]2 [12C]6[1H]6[14N]1[16O]1[18O]1 [12C]6[1H]6[14N]1[16O]1[17O]1 [12C]6[1H]6[15N]1[16O]2 [12C]4[13C]2[1H]6[14N]1[16O]2 [12C]6[1H]5[2H]1[14N]1[16O]2 [12C]5[13C]1[1H]6[14N]1[16O]2 [12C]5[13C]1[1H]6[14N]1[16O]1[18O]1 [12C]5[13C]1[1H]6[14N]1[16O]1[17O]1 [12C]5[13C]1[1H]6[15N]1[16O]2 [12C]6[1H]4[14N]1[16O]2 [12C]6[1H]4[14N]1[16O]1[18O]1 [12C]6[1H]4[14N]1[16O]1[17O]1 [12C]6[1H]4[15N]1[16O]2 [12C]4[13C]2[1H]4[14N]1[16O]2 [12C]6[1H]3[2H]1[14N]1[16O]2 [12C]5[13C]1[1H]4[14N]1[16O]2 [12C]5[13C]1[1H]4[14N]1[16O]1[18O]1 [12C]5[13C]1[1H]4[14N]1[16O]1[17O]1 [12C]5[13C]1[1H]4[15N]1[16O]2
L-Serine	[M1];[C3H7NO3]n	0.9567829818748018 0.00589854881214354 0.001093389535909534 1.1466726014576726E-4 0.003533966369539175 3.357733579529803E-4 8.803415826068173E-4 0.03104491430120403 1.9139130382068905E-4 3.547741241554235E-5 0.9570030799268192 0.005899905712431146 0.0010936410588896755 1.14693638165722E-4 0.003534779322035787 3.3585059914916036E-4 6.604080720777945E-4 0.03105205586338917 1.914353314151823E-4 3.548557362818012E-5	106.04986954875076 108.05411532665076 107.05408642665077 108.05025927971076 107.04690444191075 108.05657922435077 107.05614629461077 107.05322438655077 109.05747016445076 108.05744126445077 104.03531664428924 106.03956242218925 105.03953352218923 106.03570637524925 105.03235153744924 106.04202631988923 105.04159339014925 105.03867148208924 107.04291725998925 106.04288835998923	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]3[1H]8[14N]1[16O]3 [12C]3[1H]8[14N]1[16O]2[18O]1 [12C]3[1H]8[14N]1[16O]2[17O]1 [12C]2[13C]1[1H]8[15N]1[16O]3 [12C]3[1H]8[15N]1[16O]3 [12C]1[13C]2[1H]8[14N]1[16O]3 [12C]3[1H]7[2H]1[14N]1[16O]3 [12C]2[13C]1[1H]8[14N]1[16O]3 [12C]2[13C]1[1H]8[14N]1[16O]2[18O]1 [12C]2[13C]1[1H]8[14N]1[16O]2[17O]1 [12C]3[1H]6[14N]1[16O]3 [12C]3[1H]6[14N]1[16O]2[18O]1 [12C]3[1H]6[14N]1[16O]2[17O]1 [12C]2[13C]1[1H]6[15N]1[16O]3 [12C]3[1H]6[15N]1[16O]3 [12C]1[13C]2[1H]6[14N]1[16O]3 [12C]3[1H]5[2H]1[14N]1[16O]3 [12C]2[13C]1[1H]6[14N]1[16O]3 [12C]2[13C]1[1H]6[14N]1[16O]2[18O]1 [12C]2[13C]1[1H]6[14N]1[16O]2[17O]1
L-Citrulline	[M1];[C6H13N3O3]n	0.918957624809463 0.005665356208164036 0.001050163589806016 3.676497205742762E-4 0.01018276475218451 9.602367591342594E-5 0.059635175894842386 6.608041009706318E-4 0.0014796919405163892 0.0016124946479197744 0.9191690215284041 0.005666659464899391 0.0010504051691033014 3.677342945987478E-4 0.010185107192140656 8.232494157360826E-5 0.05964889435168664 6.609561121352783E-4 0.0012685991386101336 0.001612865585674332	176.10296775207075 178.10721352997078 177.10718462997076 179.11056836777075 177.10000264523077 178.11259933573078 177.10632258987076 178.10335748303075 177.10924449793075 178.10967742767076 174.08841484760924 176.09266062550924 175.09263172550922 177.09601546330924 175.08544974076923 176.09804643126924 175.09176968540925 176.08880457856924 175.09469159346924 176.09512452320925	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]6[1H]14[14N]3[16O]3 [12C]6[1H]14[14N]3[16O]2[18O]1 [12C]6[1H]14[14N]3[16O]2[17O]1 [12C]5[13C]1[1H]14[14N]3[16O]2[18O]1 [12C]6[1H]14[14N]2[15N]1[16O]3 [12C]5[13C]1[1H]13[2H]1[14N]3[16O]3 [12C]5[13C]1[1H]14[14N]3[16O]3 [12C]5[13C]1[1H]14[14N]2[15N]1[16O]3 [12C]6[1H]13[2H]1[14N]3[16O]3 [12C]4[13C]2[1H]14[14N]3[16O]3 [12C]6[1H]12[14N]3[16O]3 [12C]6[1H]12[14N]3[16O]2[18O]1 [12C]6[1H]12[14N]3[16O]2[17O]1 [12C]5[13C]1[1H]12[14N]3[16O]2[18O]1 [12C]6[1H]12[14N]2[15N]1[16O]3 [12C]5[13C]1[1H]11[2H]1[14N]3[16O]3 [12C]5[13C]1[1H]12[14N]3[16O]3 [12C]5[13C]1[1H]12[14N]2[15N]1[16O]3 [12C]6[1H]11[2H]1[14N]3[16O]3 [12C]4[13C]2[1H]12[14N]3[16O]3
Cytidine	[M1];[C9H13N3O5]n	0.8854545480247443 0.009098017299290903 0.001686461743283191 9.55069059924006E-4 0.0861915222629969 0.009811524620797712 0.003728896343734225 8.856151480053708E-4 1.6416280792294673E-4 0.001425745783084888 0.8856582377065866 0.009100110204288931 0.0016868496964047768 9.552887637059643E-4 0.08621134973329043 0.009813781660792432 0.0037297541378599336 8.858188746315813E-4 1.642005718829272E-4 0.0012223489381629742	244.09279699627078 246.09704277417077 245.09701387417076 246.09318672723074 245.09615183407075 245.08983188943077 246.09950667187078 247.10039761197075 246.10036871197076 245.09907374213074 242.07824409180924 244.08248986970924 243.08246096970925 244.07863382276926 243.0815989296092 243.07527898496923 244.08495376740925 245.0858447075092 244.08581580750922 243.0845208376692	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]9[1H]14[14N]3[16O]5 [12C]9[1H]14[14N]3[16O]4[18O]1 [12C]9[1H]14[14N]3[16O]4[17O]1 [12C]8[13C]1[1H]14[14N]2[15N]1[16O]5 [12C]8[13C]1[1H]14[14N]3[16O]5 [12C]9[1H]14[14N]2[15N]1[16O]5 [12C]7[13C]2[1H]14[14N]3[16O]5 [12C]8[13C]1[1H]14[14N]3[16O]4[18O]1 [12C]8[13C]1[1H]14[14N]3[16O]4[17O]1 [12C]9[1H]13[2H]1[14N]3[16O]5 [12C]9[1H]12[14N]3[16O]5 [12C]9[1H]12[14N]3[16O]4[18O]1 [12C]9[1H]12[14N]3[16O]4[17O]1 [12C]8[13C]1[1H]12[14N]2[15N]1[16O]5 [12C]8[13C]1[1H]12[14N]3[16O]5 [12C]9[1H]12[14N]2[15N]1[16O]5 [12C]7[13C]2[1H]12[14N]3[16O]5 [12C]8[13C]1[1H]12[14N]3[16O]4[18O]1 [12C]8[13C]1[1H]12[14N]3[16O]4[17O]1 [12C]9[1H]11[2H]1[14N]3[16O]5
Ethanolamine phosphate	[M1];[C2H8NO4P]n	0.9646702077822042 0.007929564545660031 0.0014698705011467368 7.707501196971739E-5 0.0035630985673664206 1.1284710016808342E-4 9.98548498131866E-4 0.02086722171893175 1.715280312110833E-4 3.1795439931810554E-5 0.9648921202091539 0.007931388660159251 0.0014702086296880558 7.70927422808905E-5 0.0035639182214245294 1.1287305947901738E-4 7.768274919299408E-4 0.020872022007961087 1.7156748946468012E-4 3.18027541446724E-5	142.02637071499078 144.03061649289077 143.03058759289078 144.02676044595077 143.02340560815077 144.03308039059078 143.03264746085077 143.02972555279078 145.03397133069078 144.03394243069076 140.01181781052924 142.01606358842923 141.01603468842924 142.01220754148923 141.00885270368923 142.01852748612924 141.01809455638923 141.01517264832924 143.01941842622924 142.01938952622925	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]2[1H]9[14N]1[16O]4[31P]1 [12C]2[1H]9[14N]1[16O]3[18O]1[31P]1 [12C]2[1H]9[14N]1[16O]3[17O]1[31P]1 [12C]1[13C]1[1H]9[15N]1[16O]4[31P]1 [12C]2[1H]9[15N]1[16O]4[31P]1 [13C]2[1H]9[14N]1[16O]4[31P]1 [12C]2[1H]8[2H]1[14N]1[16O]4[31P]1 [12C]1[13C]1[1H]9[14N]1[16O]4[31P]1 [12C]1[13C]1[1H]9[14N]1[16O]3[18O]1[31P]1 [12C]1[13C]1[1H]9[14N]1[16O]3[17O]1[31P]1 [12C]2[1H]7[14N]1[16O]4[31P]1 [12C]2[1H]7[14N]1[16O]3[18O]1[31P]1 [12C]2[1H]7[14N]1[16O]3[17O]1[31P]1 [12C]1[13C]1[1H]7[15N]1[16O]4[31P]1 [12C]2[1H]7[15N]1[16O]4[31P]1 [13C]2[1H]7[14N]1[16O]4[31P]1 [12C]2[1H]6[2H]1[14N]1[16O]4[31P]1 [12C]1[13C]1[1H]7[14N]1[16O]4[31P]1 [12C]1[13C]1[1H]7[14N]1[16O]3[18O]1[31P]1 [12C]1[13C]1[1H]7[14N]1[16O]3[17O]1[31P]1
Imidazole-4-acetate	[M1];[C5H6N2O2]n	0.9353515605691526 0.003844283006038197 7.125988011192752E-4 0.006909614868505064 4.072362927499524E-5 3.7366258512586787E-4 7.530446063879024E-4 0.050582541686495175 2.078936023683853E-4 0.001094174054473867 0.9355667285438477 0.0038451673436749037 7.127627271202258E-4 0.006911204354105831 0.0010944257579244088 3.7374854234778336E-4 5.380127403778554E-4 0.05059417767825318 2.0794142614637362E-4 3.854523996859607E-5	127.05020389975077 129.05444967765078 128.0544207776508 128.04723879291078 129.05983548341078 129.05059363071078 128.05648064561078 128.0535587375508 130.05780451545078 129.05691357535076 125.03565099528923 127.03989677318924 126.03986787318924 126.03268588844924 127.04236067088924 127.03604072624924 126.04192774114924 126.03900583308923 128.04325161098924 127.04322271098924	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]5[1H]7[14N]2[16O]2 [12C]5[1H]7[14N]2[16O]1[18O]1 [12C]5[1H]7[14N]2[16O]1[17O]1 [12C]5[1H]7[14N]1[15N]1[16O]2 [12C]4[13C]1[1H]6[2H]1[14N]2[16O]2 [12C]4[13C]1[1H]7[14N]1[15N]1[16O]2 [12C]5[1H]6[2H]1[14N]2[16O]2 [12C]4[13C]1[1H]7[14N]2[16O]2 [12C]4[13C]1[1H]7[14N]2[16O]1[18O]1 [12C]3[13C]2[1H]7[14N]2[16O]2 [12C]5[1H]5[14N]2[16O]2 [12C]5[1H]5[14N]2[16O]1[18O]1 [12C]5[1H]5[14N]2[16O]1[17O]1 [12C]5[1H]5[14N]1[15N]1[16O]2 [12C]3[13C]2[1H]5[14N]2[16O]2 [12C]4[13C]1[1H]5[14N]1[15N]1[16O]2 [12C]5[1H]4[2H]1[14N]2[16O]2 [12C]4[13C]1[1H]5[14N]2[16O]2 [12C]4[13C]1[1H]5[14N]2[16O]1[18O]1 [12C]4[13C]1[1H]5[14N]2[16O]1[17O]1
Spermidine	[M1];[C7H19N3]n	0.9151529287695912 0.010140605762823477 3.745526458084794E-5 0.002105093821959583 4.0525559931437116E-5 0.0692863179670903 7.677462565808946E-4 1.593768596631688E-4 0.0022481459686077036 2.491120472682376E-5 0.9153634502574689 0.01014293850453916 3.746388077796705E-5 0.0018950202693639318 4.053488241831951E-5 0.06930225656957896 7.679228686849121E-4 1.4347217039862388E-4 0.002248663131389353 2.491693529241454E-5	146.16517407861076 147.16220897177075 148.15924386493077 147.17145082447078 149.17523859201074 147.16852891641076 148.16556380957078 148.17480566227076 148.17188375421077 149.16891864737076 144.15062117414922 145.14765606730924 146.14469096046923 145.15689792000924 147.16068568754923 145.15397601194925 146.15101090510925 146.16025275780922 146.15733084974923 147.15436574290925	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]7[1H]20[14N]3 [12C]7[1H]20[14N]2[15N]1 [12C]7[1H]20[14N]1[15N]2 [12C]7[1H]19[2H]1[14N]3 [12C]4[13C]3[1H]20[14N]3 [12C]6[13C]1[1H]20[14N]3 [12C]6[13C]1[1H]20[14N]2[15N]1 [12C]6[13C]1[1H]19[2H]1[14N]3 [12C]5[13C]2[1H]20[14N]3 [12C]5[13C]2[1H]20[14N]2[15N]1 [12C]7[1H]18[14N]3 [12C]7[1H]18[14N]2[15N]1 [12C]7[1H]18[14N]1[15N]2 [12C]7[1H]17[2H]1[14N]3 [12C]4[13C]3[1H]18[14N]3 [12C]6[13C]1[1H]18[14N]3 [12C]6[13C]1[1H]18[14N]2[15N]1 [12C]6[13C]1[1H]17[2H]1[14N]3 [12C]5[13C]2[1H]18[14N]3 [12C]5[13C]2[1H]18[14N]2[15N]1
Phenylhydrazine	[M1];[C6H8N2]n	0.9296430579623917 0.00686744510458809 1.2682771591900275E-5 9.622912284823501E-4 0.06032860034487576 4.4565852189887365E-4 6.244728279446774E-5 0.0016312443740275203 1.2050303710497184E-5 2.352412790470639E-5 0.9298569127549676 0.006869024889469813 1.2685689132632542E-5 7.486209061719586E-4 0.06034247831685936 4.457610410431238E-4 4.858128189248942E-5 0.0016316196249630923 1.2053075758519717E-5 2.3529539387587378E-5	109.07602471983077 110.07305961299076 111.07009450615077 110.08230146569078 110.07937955763077 111.07641445079076 111.08565630349078 111.08273439543078 112.07976928859077 112.08608923323077 107.06147181536925 108.05850670852925 109.05554160168924 108.06774856122924 108.06482665316925 109.06186154632925 109.07110339902924 109.06818149096925 110.06521638412926 110.07153632876924	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]6[1H]9[14N]2 [12C]6[1H]9[14N]1[15N]1 [12C]6[1H]9[15N]2 [12C]6[1H]8[2H]1[14N]2 [12C]5[13C]1[1H]9[14N]2 [12C]5[13C]1[1H]9[14N]1[15N]1 [12C]5[13C]1[1H]8[2H]1[14N]2 [12C]4[13C]2[1H]9[14N]2 [12C]4[13C]2[1H]9[14N]1[15N]1 [12C]3[13C]3[1H]9[14N]2 [12C]6[1H]7[14N]2 [12C]6[1H]7[14N]1[15N]1 [12C]6[1H]7[15N]2 [12C]6[1H]6[2H]1[14N]2 [12C]5[13C]1[1H]7[14N]2 [12C]5[13C]1[1H]7[14N]1[15N]1 [12C]5[13C]1[1H]6[2H]1[14N]2 [12C]4[13C]2[1H]7[14N]2 [12C]4[13C]2[1H]7[14N]1[15N]1 [12C]3[13C]3[1H]7[14N]2
Melatonin	[M1];[C13H16N2O2]n	0.8572341826233654 0.003523221577188364 6.530849752836965E-4 0.006332547358386835 3.101935902016061E-4 0.0078217804278619 0.0016760855768700226 8.903844511792296E-4 0.12053095603245784 4.953806948214932E-4 0.8574313805013507 0.00352403205795637 6.532352107431318E-4 0.0063340040955616106 3.1026494703617055E-4 8.905892749344214E-4 0.0014792392438778756 0.00782357974773704 0.12055868293514434 4.954946520385452E-4	233.12845422115075 235.13269999905074 234.13267109905075 234.12548911431077 236.13851873455073 235.13516389675075 234.13473096701074 235.12884395211077 234.13180905895075 236.13605483685075 231.1139013166892 233.1181470945892 232.11811819458921 232.11093620984923 234.1239658300892 233.11429104764923 232.12017806254923 233.12061099228922 232.1172561544892 234.1215019323892	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]13[1H]17[14N]2[16O]2 [12C]13[1H]17[14N]2[16O]1[18O]1 [12C]13[1H]17[14N]2[16O]1[17O]1 [12C]13[1H]17[14N]1[15N]1[16O]2 [12C]10[13C]3[1H]17[14N]2[16O]2 [12C]11[13C]2[1H]17[14N]2[16O]2 [12C]13[1H]16[2H]1[14N]2[16O]2 [12C]12[13C]1[1H]17[14N]1[15N]1[16O]2 [12C]12[13C]1[1H]17[14N]2[16O]2 [12C]12[13C]1[1H]17[14N]2[16O]1[18O]1 [12C]13[1H]15[14N]2[16O]2 [12C]13[1H]15[14N]2[16O]1[18O]1 [12C]13[1H]15[14N]2[16O]1[17O]1 [12C]13[1H]15[14N]1[15N]1[16O]2 [12C]10[13C]3[1H]15[14N]2[16O]2 [12C]12[13C]1[1H]15[14N]1[15N]1[16O]2 [12C]13[1H]14[2H]1[14N]2[16O]2 [12C]11[13C]2[1H]15[14N]2[16O]2 [12C]12[13C]1[1H]15[14N]2[16O]2 [12C]12[13C]1[1H]15[14N]2[16O]1[18O]1
1-Naphthylacetic acid	[M1];[C12H10O2]n	0.8735212108867744 0.003590161056001858 6.654932689174173E-4 0.0011051314218852863 0.11337321689867746 4.659624781063759E-4 8.63735325270355E-5 1.4343361424246488E-4 0.0067441765030700224 2.431439353847821E-4 0.873722155427547 0.0035909869355062215 6.656463587767627E-4 9.044064376078355E-4 0.11339929723733633 4.660696679662367E-4 8.639340186691213E-5 1.1738177154437061E-4 0.006745727931281965 2.4319986813813558E-4	187.07535601783076 189.07960179573075 188.07957289573076 188.08163276369075 188.07871085563076 190.08295663353076 189.08292773353077 189.08498760149075 189.08206569343076 190.08542053123074 185.06080311336922 187.0650488912692 186.06501999126922 186.06707985922924 186.06415795116922 188.06840372906922 187.06837482906923 187.07043469702924 187.06751278896922 188.0708676267692	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]12[1H]11[16O]2 [12C]12[1H]11[16O]1[18O]1 [12C]12[1H]11[16O]1[17O]1 [12C]12[1H]10[2H]1[16O]2 [12C]11[13C]1[1H]11[16O]2 [12C]11[13C]1[1H]11[16O]1[18O]1 [12C]11[13C]1[1H]11[16O]1[17O]1 [12C]11[13C]1[1H]10[2H]1[16O]2 [12C]10[13C]2[1H]11[16O]2 [12C]9[13C]3[1H]11[16O]2 [12C]12[1H]9[16O]2 [12C]12[1H]9[16O]1[18O]1 [12C]12[1H]9[16O]1[17O]1 [12C]12[1H]8[2H]1[16O]2 [12C]11[13C]1[1H]9[16O]2 [12C]11[13C]1[1H]9[16O]1[18O]1 [12C]11[13C]1[1H]9[16O]1[17O]1 [12C]11[13C]1[1H]8[2H]1[16O]2 [12C]10[13C]2[1H]9[16O]2 [12C]9[13C]3[1H]9[16O]2
